Lkm,Dnu1G,Dnu100M,Dnu10M,Dnu1M,Dnu100k,Dnu10k,Dnu1k
550,0.430108387707771,0.421657483603976,0.428343625684085,0.434259674085434,0.432523415234014,0.427954171393566,0.429886267477704
560,0.426997361273528,0.426988299756864,0.426939291462582,0.422407615930571,0.423723798366697,0.43114248846125,0.427657074178724
570,0.427347227305188,0.43080018681993,0.426243448593011,0.422036110259529,0.435001481936993,0.428684983491365,0.429590525919041
580,0.435999937730151,0.433117821905182,0.429230413633483,0.428051760393825,0.424449768807112,0.430893910970869,0.429858936729262
590,0.431755448413721,0.422410785445066,0.424860885667973,0.428284916283486,0.426847784502869,0.437159218130008,0.431556179442266
600,0.427948707719752,0.424576445666166,0.428985958645894,0.433795503826041,0.432721884301083,0.423339540628857,0.429636676955995
610,0.429085637476536,0.427184524598739,0.432799695877315,0.429831669650799,0.424510983166238,0.429414670057454,0.426425566606466
620,0.430524012064267,0.430784578715031,0.42771306403213,0.421022113580259,0.433749298579247,0.431277127895089,0.430206289265749
630,0.425010837050452,0.426553961879482,0.425933395444775,0.432132155857061,0.426029200856598,0.426377443252329,0.428730889072187
640,0.438867689728058,0.435968719406879,0.426885090046806,0.426882611513569,0.435994367416927,0.432997518621241,0.4314491077721
650,0.431226957940709,0.425012854319774,0.426302112372099,0.435734249913769,0.431693644711846,0.430920467399606,0.430805814885896
660,0.43116505734147,0.429358984950182,0.426167788194258,0.430700779103056,0.43267726197502,0.421568959423723,0.438461272051911
670,0.429184545766152,0.434526112510377,0.425414251978829,0.432406951234186,0.424730698664443,0.434589458833697,0.42500093911407
680,0.432338362206527,0.428380683407874,0.423232073080445,0.432140796561852,0.43383912724785,0.424861740266929,0.421310564007181
690,0.429601184171953,0.433202386425535,0.434182076373539,0.43020638579182,0.433172765688257,0.426151646857049,0.433868029924329
700,0.433806517849278,0.427498623271102,0.426282231531785,0.433059588645789,0.428716335568226,0.426411425905753,0.431272658075509
710,0.430542276191471,0.4303325559336,0.427676982005801,0.425303740400476,0.431924033109106,0.434324532123008,0.436089974544116
720,0.430214923854696,0.429229484972211,0.426945567929121,0.430931976330373,0.431010705767897,0.418094398833802,0.431021057844922
730,0.437583414867465,0.426879458610184,0.427226421280271,0.425320853450937,0.436083093635475,0.428431820377116,0.416198530324882
740,0.434528384550669,0.43093703801755,0.425081174796626,0.438567005891957,0.433274336706619,0.440875323086973,0.435501365116306
750,0.431333932595964,0.435704249354498,0.429579573004456,0.429234957692612,0.431371063947828,0.431150086716193,0.435203612434017
760,0.426710638898626,0.430201282071457,0.426438820829996,0.426262896789773,0.434082390602022,0.42555468947163,0.423247949292936
770,0.431273363094873,0.431075592151887,0.432622440928884,0.427766576176964,0.421984289625526,0.42767674521186,0.434202289950939
780,0.428311866163874,0.428414214082151,0.431534690908609,0.430887918546601,0.427615612335471,0.434917710241164,0.431669125606755
790,0.429281576955035,0.427317778220667,0.432874976079961,0.432286726604815,0.437692771240612,0.429134228404357,0.425564123397788
800,0.431054719954675,0.430415632669997,0.431006953818023,0.428272313190211,0.430150883891275,0.427532325990805,0.435993036002249
810,0.427272589843326,0.437929277450207,0.428334496969404,0.435959817906243,0.434001285244383,0.430465224604966,0.426804876984441
820,0.433929501965425,0.432134230039386,0.430626361129132,0.421669663211273,0.436402962783118,0.43854203517971,0.432795365690749
