Lkm,L1000,L1100,L1200,L1300,L1400,L1500,L1600,L1700,L1800,L1900
136,-0.104811276864185,-0.221828113789803,-0.173814434245974,-0.181322176349402,-0.197397236232372,-0.182305561101388,-0.19377108710134,-0.189290519581665,-0.184385287140078,-0.194840630909667
137,-0.107174630729922,-0.225655715842608,-0.176319735586028,-0.182209755498481,-0.199398311638944,-0.182911309536359,-0.193984824769212,-0.189052520538782,-0.18660658852502,-0.194288667244535
138,-0.108597495877191,-0.22336356402043,-0.17671415830972,-0.179872544592518,-0.198980651551525,-0.183839934300497,-0.196130009353349,-0.1836008436157,-0.18546535577795,-0.195669772242771
139,-0.109917473508362,-0.223265784316211,-0.178615990906209,-0.176883450265276,-0.197623979965829,-0.181839601740817,-0.195109014798756,-0.186351100430029,-0.185360969020113,-0.197249294158671
140,-0.110616628728472,-0.226089877649821,-0.179228917624271,-0.17761280918104,-0.195661576029331,-0.176320799808873,-0.194593508607206,-0.183582880529971,-0.186884621858066,-0.199760059620929
141,-0.113092416422531,-0.226176976536363,-0.181327252465121,-0.17546208305484,-0.197289849321805,-0.183417259789524,-0.197271798128086,-0.185443506906293,-0.190721300856388,-0.196672206414683
142,-0.113229034176243,-0.230615400994069,-0.182031014358173,-0.17697695528367,-0.196817251834091,-0.184229096655023,-0.200701262890794,-0.187115745404457,-0.193263143552929,-0.194791645889014
143,-0.114480448459217,-0.229307998814079,-0.184393387222092,-0.17640380757596,-0.196393283098809,-0.183485759324413,-0.193799693056025,-0.18588835599401,-0.189748393807399,-0.19879714658616
144,-0.115261426236226,-0.228992931450214,-0.184139155823238,-0.177398579637666,-0.196363103232978,-0.184240232136728,-0.19628575392452,-0.184502133475913,-0.194402788147143,-0.194630277474649
145,-0.116544858363061,-0.23118244815134,-0.187030591151369,-0.17835004480888,-0.200516762716355,-0.179448625066729,-0.194668946162763,-0.186889652354165,-0.193156128989248,-0.192783475179766
146,-0.118532480406866,-0.230730501400619,-0.188042053299399,-0.17906289789515,-0.192023383660198,-0.18590768016112,-0.189877971991986,-0.186037844530252,-0.198220591489469,-0.194568624067727
